signal_time,action
2025-01-10 11:30:00,Open Long
2025-01-10 12:00:00,No action taken
2025-01-10 12:30:00,No action taken
2025-01-10 13:00:00,No action taken
2025-01-10 13:30:00,No action taken
2025-01-10 14:00:00,No action taken
2025-01-10 14:30:00,No action taken
2025-01-10 15:00:00,Close Long & Open Short
2025-01-10 15:30:00,No action taken
2025-01-10 16:00:00,No action taken
2025-01-10 16:30:00,No action taken
2025-01-10 17:00:00,No action taken
2025-01-10 17:30:00,No action taken
2025-01-10 18:00:00,No action taken
2025-01-10 18:30:00,No action taken
2025-01-10 19:00:00,No action taken
2025-01-10 19:30:00,No action taken
2025-01-10 20:00:00,No action taken
2025-01-10 20:30:00,No action taken
2025-01-10 21:00:00,No action taken
2025-01-10 21:30:00,No action taken
2025-01-10 22:00:00,No action taken
2025-01-10 22:30:00,No action taken
2025-01-10 23:00:00,No action taken
2025-01-10 23:30:00,No action taken
2025-01-11 00:00:00,No action taken
2025-01-11 00:30:00,No action taken
2025-01-11 01:00:00,No action taken
2025-01-11 01:30:00,No action taken
2025-01-11 02:00:00,No action taken
2025-01-11 02:30:00,No action taken
2025-01-11 03:00:00,No action taken
2025-01-11 03:30:00,No action taken
2025-01-11 04:00:00,No action taken
2025-01-11 04:30:00,No action taken
2025-01-11 05:00:00,No action taken
2025-01-11 05:30:00,No action taken
2025-01-11 06:00:00,No action taken
2025-01-11 06:30:00,No action taken
2025-01-11 07:00:00,No action taken
2025-01-11 07:30:00,No action taken
2025-01-11 08:00:00,No action taken
2025-01-11 08:30:00,No action taken
2025-01-11 09:00:00,No action taken
2025-01-11 09:30:00,No action taken
2025-01-11 10:00:00,No action taken
2025-01-11 10:30:00,No action taken
2025-01-11 11:00:00,No action taken
2025-01-11 11:30:00,No action taken
2025-01-11 12:00:00,No action taken
2025-01-11 12:30:00,No action taken
2025-01-11 13:00:00,No action taken
2025-01-11 13:30:00,No action taken
2025-01-11 14:00:00,No action taken
2025-01-11 14:30:00,Close Short & Open Long
2025-01-11 15:00:00,No action taken
2025-01-11 15:30:00,No action taken
2025-01-11 16:00:00,No action taken
2025-01-11 16:30:00,No action taken
2025-01-11 17:00:00,No action taken
2025-01-11 17:30:00,No action taken
2025-01-11 18:00:00,No action taken
2025-01-11 18:30:00,No action taken
2025-01-11 19:00:00,No action taken
2025-01-11 19:30:00,No action taken
2025-01-11 20:00:00,No action taken
2025-01-11 20:30:00,No action taken
2025-01-11 21:00:00,No action taken
2025-01-11 21:30:00,No action taken
2025-01-11 22:00:00,No action taken
2025-01-11 22:30:00,No action taken
2025-01-11 23:00:00,No action taken
2025-01-11 23:30:00,No action taken
2025-01-12 00:00:00,No action taken
2025-01-12 00:30:00,No action taken
2025-01-12 01:00:00,No action taken
2025-01-12 01:30:00,No action taken
2025-01-12 02:00:00,No action taken
2025-01-12 02:30:00,No action taken
2025-01-12 03:00:00,No action taken
2025-01-12 03:30:00,No action taken
2025-01-12 04:00:00,No action taken
2025-01-12 04:30:00,No action taken
2025-01-12 05:00:00,No action taken
2025-01-12 05:30:00,No action taken
2025-01-12 06:00:00,Close Long & Open Short
2025-01-12 06:30:00,No action taken
2025-01-12 07:00:00,No action taken
2025-01-12 07:30:00,No action taken
2025-01-12 08:00:00,No action taken
2025-01-12 08:30:00,No action taken
2025-01-12 09:00:00,No action taken
2025-01-12 09:30:00,No action taken
2025-01-12 10:00:00,No action taken
2025-01-12 10:30:00,No action taken
2025-01-12 11:00:00,No action taken
2025-01-12 11:30:00,No action taken
2025-01-12 12:00:00,No action taken
2025-01-12 12:30:00,No action taken
2025-01-12 13:00:00,No action taken
2025-01-12 13:30:00,No action taken
2025-01-12 14:00:00,No action taken
2025-01-12 14:30:00,No action taken
2025-01-12 15:00:00,Close Short & Open Long
2025-01-12 15:30:00,No action taken
2025-01-12 16:00:00,No action taken
2025-01-12 16:30:00,No action taken
2025-01-12 17:00:00,No action taken
2025-01-12 17:30:00,No action taken
2025-01-12 18:00:00,No action taken
2025-01-12 18:30:00,No action taken
2025-01-12 19:00:00,No action taken
2025-01-12 19:30:00,No action taken
2025-01-12 20:00:00,No action taken
2025-01-12 20:30:00,No action taken
2025-01-12 21:00:00,No action taken
2025-01-12 21:30:00,No action taken
2025-01-12 22:00:00,Close Long & Open Short
2025-01-12 22:30:00,No action taken
2025-01-12 23:00:00,No action taken
2025-01-12 23:30:00,No action taken
2025-01-13 00:00:00,No action taken
2025-01-13 00:30:00,No action taken
2025-01-13 01:00:00,No action taken
2025-01-13 01:30:00,No action taken
2025-01-13 02:00:00,No action taken
2025-01-13 02:30:00,No action taken
2025-01-13 03:00:00,No action taken
